Medicines,Drugs
Empaa    ,Empagliflozin 
Effidex     ,"Betamethasone Dipropionate, Topical "
Esocool ,Esomeprazole 
Exval-A ,Amlodipine 
Ebaget-D ,Ebastine 
Empozin  ,Empagliflozin 
Enier  ,Betahistine Dihydrochloride 
Empozin ,Empagliflozin 
Exinofin ,Terbinafine 
Exapro ,Escitalopram 
Exapro  ,Escitalopram 
Emsyn ,Empagliflozin 
Espercil ,Metronidazole 
Empaphage ,Empagliflozin 
Eyebradex Sterile  eye ointment,Dexamethasone
Elergifen ,Fexofenadine HCI 
Empoli ,Empagliflozin 
Esi-Dep  ,Escitalopram 
Esi-Dep ,Escitalopram 
Exotan  ,Amlodipine 
Exotan ,Amlodipine 
Empaa-M XR ,Empagliflozin 
Erli Plus ,Empagliflozin 
Emergency Pills ,Levonorgestrel 
Epicar ,Carbamazepine 
Epilex ,Carbamazepine 
Etrizine-L ,Levocetirizine 
Exigentin ,Loratadine 
Erizole ,Mebendazole 
Enpril ,Enalapril Maleate 
Eurofenac ,Diclofenac Sodium 
Exifin ,Ibuprofen 
Entamizole ,Diloxanide Furoate
Elantan Long ,Isosorbide Mononitrate 
Efexor XR ,Venlafaxine
En-Vepe  tablet,Doxylamine
Enziclor Mouthwash ,Benzydamine Hydrochloride
Enervit  tablet,Vitamin B complex plain and with Vitamin C
Enoxabid ,Enoxacin 
Eroflex ,Pentazocine 
Ethrane ,Enflurane 
Etomidate Lipuro Per Ml infusion,Etomidate 
Epocain ,Lignocaine 
Epilepsin ,Carbamazepine 
Epitab XR ,Carbamazepine 
Epizep ,Clonazepam 
Epilim ,Divalproex Sodium 
Epimed ,Divalproex Sodium 
Elko Gape ,Gabapentin 
Engaba ,Gabapentin 
Entin ,Gabapentin 
Eppra ,Levetiracetam 
Engrax ,Topiramate 
Epimax ,Topiramate 
Elicurium ,Atracurium Besylate 
Excedrin-Xtra ,Orphenadrine 
Esmeron ,Rocuronium 
Elasta ,Cyclobenzaprine 
Emrix ,Cyclobenzaprine 
Enadil ,Candesartan Cilexetil 
Encertine ,Losartan Potassium 
,Somatropin 
Enzoxen ,Azithromycin 
Ery-Pack ,Azithromycin 
Exonex ,Azithromycin 
Ezill ,Azithromycin 
Ezimax ,Azithromycin 
Ezmin ,Azithromycin 
Epophenicol ,Chloramphenicol 
Efelide ,Clarithromycin 
Emetus ,Domperidone 
Emolium ,Domperidone 
Entevigor ,Domperidone 
Evdon ,Domperidone 
Evdon V ,Domperidone Maleate 
Ephedrine ,Ephedrine 
Epherin ,Ephedrine 
E-Rubicin ,Epirubicin 
Epiao ,Epoetin Alfa 
Epogen ,Epoetin Alfa 
Eporon ,Epoetin Alfa 
Epotin ,Epoetin Alfa 
Eprex ,Epoetin Alfa 
Espogen ,Epoetin Alfa 
E-Mepra ,Esomeperazole 
E-Prazole ,Esomeperazole 
E-Z ,Esomeperazole 
E-Zole ,Esomeperazole 
Ecorox ,Esomeperazole 
Efrozole ,Esomeperazole 
Emage ,Esomeperazole 
Empel ,Esomeperazole 
Emzol ,Esomeperazole 
EPI ,Esomeperazole 
Eprazid ,Esomeperazole 
Eprazin ,Esomeperazole 
Es-Care ,Esomeperazole 
Es-Cay ,Esomeperazole 
ES-Loprot ,Esomeperazole 
Es-P ,Esomeperazole 
Esaprol ,Esomeperazole 
Esim ,Esomeperazole 
Esmazole ,Esomeperazole 
Esmitec ,Esomeperazole 
Esnil ,Esomeperazole 
Esocap ,Esomeperazole 
Esocue ,Esomeperazole 
Esoday ,Esomeperazole 
Esodin ,Esomeperazole 
Esofast ,Esomeperazole 
Esofine ,Esomeperazole 
Esogood ,Esomeperazole 
Esold ,Esomeperazole 
Esolive ,Esomeperazole 
Esolone ,Esomeperazole 
Esomalt ,Esomeperazole 
Esomep ,Esomeperazole 
Esonil ,Esomeperazole 
Esonom ,Esomeperazole 
Esonorm ,Esomeperazole 
Esopan ,Esomeperazole 
Esopral ,Esomeperazole 
Esoprime ,Esomeperazole 
Esopulse ,Esomeperazole 
Esor ,Esomeperazole 
Esorant ,Esomeperazole 
Esorok ,Esomeperazole 
Esoser ,Esomeperazole 
Esot ,Esomeperazole 
Esotone ,Esomeperazole 
Esowin ,Esomeperazole 
Esox ,Esomeperazole 
Esoyan ,Esomeperazole 
Esozeb ,Esomeperazole 
Esozil ,Esomeperazole 
Esprazole ,Esomeperazole 
Esprol ,Esomeperazole 
Esro ,Esomeperazole 
Essocam ,Esomeperazole 
Essogene ,Esomeperazole 
Essom ,Esomeperazole 
Essozat ,Esomeperazole 
Esteem ,Esomeperazole 
Estic ,Esomeperazole 
Estro ,Esomeperazole 
Esvell ,Esomeperazole 
Eszole ,Esomeperazole 
Eupazole ,Esomeperazole 
Ezipep ,Esomeperazole 
Ezotab ,Esomeperazole 
Eztomac ,Esomeperazole 
Ezumac ,Esomeperazole 
Ezzo ,Esomeperazole 
Eroprim Sulpha Ds ,Trimethoprim 
Entrotil ,Diphenoxylate 
Eyedexoline ,Dexamethasone 
Efemoline ,cinnarizine 
Eftran ,Trimethoprim 
Eftran Ds ,Trimethoprim 
Eroprim Sulpha ,Trimethoprim 
Entamizole ,Diloxanide Furoate 
Entamizole DS ,Diloxanide Furoate 
Ephadryl ,Dimehydrinate 
Edom ,Domperidone 
Eyfem ,cinnarizine 
Eyebrex ,Dexamethasone 
E-Din ,Desloratadine 
Ebavel ,Ebastine 
Estine ,Ebastine 
Evastine ,Ebastine 
Epodin ,Fexofenadine 
Exit ,Fexofenadine 
Exofen ,Fexofenadine 
Eniril ,Pheniramine Maleate 
Entum ,Artemether 
Efroquine ,Chloroquine Phosphate 
Eplachlor ,Chloroquine Phosphate 
Eroqueen ,Chloroquine Phosphate 
Eprin ,Aspirin 
Elucider ,Adapalene 
Effo-B ,Adefovir Dipivoxil 
Ekacin ,Amikacin 
Enrist ,Amikacin 
Etoposide ,Etoposide 
Etopul ,Etoposide 
Etoside ,Etoposide 
Elient ,Flurbiprofen 
Exflam ,Flurbiprofen 
Easybowl ,Lactulose 
Ez-Flow ,Lactulose 
Everzole ,Lansoprazole 
E-Lev ,Levofloxacin 
Elocin ,Levofloxacin 
Epovel ,Levofloxacin 
Evaxosure ,Levofloxacin 
Exmic ,Levofloxacin 
Ezitine ,Loratadine 
Europam ,Diazepam 
Engpan ,Meropenem 
Eptril ,Captopril 
Elusen ,Furosemide 
Ephamide ,Furosemide 
Entrotil ,Diphenoxylate and Atropine 
Eatone ,"Furazolidone, Oral "
Emod ,Loperamide 
Epostan ,Mefenamic Acid 
Eropyrin ,Paracetamol 
Eliclor ,Cefaclor 
Enspor ,Cefaclor 
Ephaclor ,Cefaclor 
Eldrox ,Cefadroxil 
Envera ,Cefadroxil 
Envera DS,Cefadroxil 
Exodril ,Cefadroxil 
Efdir ,Cefdinir 
Elide ,Cefepime 
Elipime ,Cefepime 
Endopime ,Cefepime 
Elixime ,Cefixime 
Engcef ,Cefixime 
Entaris ,Cefixime 
Epan ,Cefixime 
Epofix ,Cefixime 
Espan ,Cefixime 
Exim ,Cefixime 
Evix ,Cefixime 
Erazone ,Cefoperazone 
Efabec ,Cefoperazone 
Elizone ,Cefoperazone 
Eaxiron ,Cefotaxime 
Elkotax ,Cefotaxime 
Emexin ,Cefotaxime 
Efpiro ,Cefpirome 
Efrome ,Cefpirome 
Expodox ,Cefpodoxime 
Eftax ,Ceftazidime 
Ephtum ,Ceftazidime 
Epocef ,Ceftazidime 
Ezoxo ,Ceftizoxime 
Ecocef ,Ceftriaxone 
Efarex ,Ceftriaxone 
Eftriax ,Ceftriaxone 
Efxone ,Ceftriaxone 
Elixophin ,Ceftriaxone 
Elxone ,Ceftriaxone 
Evazone ,Ceftriaxone 
Evorox ,Cefuroxime 
Efalexin ,Cephalexin 
Elexin ,Cephalexin 
Eurocef ,Cephalexin 
Enfal ,Cephazolin 
Enceph ,Cephradine 
Ephasef ,Cephradine 
Erocef ,Cephradine 
Ecoloxib ,Celecoxib 
Ecoxib ,Celecoxib 
Empathic ,Celecoxib 
Ecloprost ,Diclofenac Sodium and Misoprostol 
Esmart ,Diclofenac Sodium and Misoprostol 
Evershafa ,Diclofenac Sodium and Misoprostol 
Ephanac ,Diclofenac Sodium 
Enbrel ,Etanercept 
Endol ,Flurbiprofen 
Eprofen ,Ibuprofen 
Eurofen ,Ibuprofen 
Epomet ,Indomethacin 
Eromethacin ,Indomethacin 
Erava ,Leflunomide 
Ezava ,Leflunomide 
Ephanax ,Naproxen 
Esmov ,Naproxen 
Everprox ,Naproxen 
Eziflam ,Naproxen 
Epharox ,Piroxicam 
Ericam ,Piroxicam 
Everpir ,Piroxicam 
Exican ,Piroxicam 
Elever ,Piroxicam-beta-cyclodextrin 
Erexin ,Piroxicam-beta-cyclodextrin 
Exican B ,Piroxicam-beta-cyclodextrin 
Easyfive,Diphtheria toxoid 
Engerix-B ,Hepatitis B Vaccine 
Epaxal ,Hepatitis A virus HM 175 strain 
Euvax-B ,Hepatitis B Vaccine 
Eczemus ,Tacrolimus topical 
Epilim EC ,Divalproex Sodium
ENO Fruit Salt Regular Sachet ,Tartaric Acid Containing Antacid Effervescent Salt 
Eno Fruit Salt Lemon ,Tartaric Acid Containing Antacid Effervescent Salt 
Elantan ,Isosorbide Mononitrate 
Efedra ,"Ephedrine, Inj/Oral "
Ephedra ,"Ephedrine, Inj/Oral "
Easyast ,Montelukast 
Ezichron ,Montelukast 
Erobolin ,Salbutamol 
Eulin ,Salbutamol 
Eno Fruit Salt Orange ,Tartaric Acid Containing Antacid Effervescent Salt
Empaa ,Empagliflozin
Emscot ,Levetiracetam 
Emkay-D  softgel capsule,MK-7
Eloxatin ,Oxaliplatin 
ENTAMIZOLE ,Diloxanide Furoate
Ecp ,Levonorgestrel 
Emkit ,Levonorgestrel 
Eperide ,Glimepiride 
Epigral ,Carbamazepine 
Episiez ,Carbamazepine 
Epifits ,Clonazepam 
Epitril ,Clonazepam 
Epigab ,Gabapentin 
Eumytic ,Cyclobenzaprine 
Evista ,Raloxifene 
Euronolka ,Sodium Acid Citrate 
Erophenicol ,Chloramphenicol 
Emorip ,Domperidone 
Emprazole ,Esomeperazole 
Exzium ,Esomeperazole 
Entametox ,Diloxanide Furoate 
Eyfem N ,cinnarizine 
Epitran Ds ,Trimethoprim 
Emovate ,Clobetasol 
Etnesol-N ,Betamethasone 
Ease ,Ebastine 
Ebasin ,Ebastine 
Ebast ,Ebastine 
Ebatin ,Ebastine 
Ebeez ,Ebastine 
Ebgit ,Ebastine 
Ebofer ,Ebastine 
Ebofor ,Ebastine 
Ebstine ,Ebastine 
Ebtex ,Ebastine 
Efficent ,Ebastine 
Evastin ,Ebastine 
Evotin ,Ebastine 
EXO ,Fexofenadine 
Encit ,Levocetirizine 
Evotrazine ,Levocetirizine 
Etosil ,Promethazine HCL 
Eplaquin ,Sulfadoxine 
Eudar ,Sulfadoxine 
Eprocid ,Aspirin 
Ethiatropine ,Atropine 
Enflam ,Flurbiprofen 
Ethifrin ,Phenylephrine 
Eczederm ,Salicyclic Acid 
Endzole ,Albendazole 
Egix ,Cetirizine 
Eidem ,Cetirizine 
Etocid ,Etoposide 
Efomycin ,Fosfomycin 
Erata ,Loratadine 
Eworm ,Mebendazole 
Engpar ,Piperazine citrate 
Enalatac ,Enalapril Maleate 
Enetec ,Enalapril Maleate 
E-Pol ,Paracetamol 
Exidol ,Paracetamol 
Elfurox ,Cefuroxime 
Epozoline ,Cephazolin 
Eldine ,Cephradine 
Eplopot ,Diclofenac potassium
Eclotec ,Aceclofenac 
Emphatic ,Celecoxib 
Engrol ,Diclofenac potassium 
Eplopot ,Diclofenac potassium 
Elixocain ,Diclofenac sodium 
Elixon ,Diclofenac Sodium 
Etoricox ,Etoricoxib 
Eroxx ,Meloxicam 
Enim ,Nimesulide 
Exilide ,Nimesulide 
Ericam Oral ,Piroxicam 
Eupyrin ,Codeine 
Elcigon  injection,Pentazocine
Eplacin ,Aspirin 
Etaphylline ,Acefylline 
Ezibreath ,Salbutamol 
Flux ,Fluoxetine 
Flagyl ,Metronidazole 
Fenoget ,Fenofibrate 
Fefol Vit  capsule,Iron with Multiple Vitamins
Freehale ,Montelukast 
Femiroz  tablet,Doxylamine
Foster Inhaler ,Beclomethasone 
Femara ,Letrozole 
Fixval Suspension ,Cefixime
Funge ,Terbinafine
Ferrocite ,Iron
Famot ,Famotidine 
Flosure ,Tamsulosin HCl 
Ferosoft - FA  tablet,Iron  Hydroxide Polymaltose Complex + Folic A
Ferosoft  syrup,Iron Polymaltose
Flagyl Infusion ,Metronidazole 
Fusiderm ,"Fusidic Acid, topical"
Famopsin ,Famotidine 
Flogocid  ointment,Bufexamac
Flogocid  cream,Neomycin
Foreva Plus ,Folic Acid 
Forsteo ,Teriparatide 
Famila ,Medroxyprogesterone Acetate 
Fantasia ,Pioglitazone 
Flexodin ,Orphenadrine 
Fernor ,Tizanidine 
Febhil ,Febuxostat 
Febugout ,Febuxostat 
Febux ,Febuxostat 
Fosamax ,Alendronate 
Fasteso ,Esomeperazole 
Fortecin ,Amoxicillin 
Fortecin Ds ,Amoxicillin 
Florozil ,cinnarizine 
Femicon ,cinnarizine 
Fegix ,Fexofenadine 
Fexet ,Fexofenadine 
Fexo ,Fexofenadine 
Fexofast ,Fexofenadine 
Fenap ,Nepafenac 
Freac ,Isotretinoin Topical 
Filgen ,Filgrastim 
Filgras ,Filgrastim 
Flucon ,Fluconazole 
Flucoval ,Fluconazole 
Fluderm ,Fluconazole 
Fumac ,Fluconazole 
Fungix ,Fluconazole 
Fungone ,Fluconazole 
Fludakebir ,Fludarabine Phosphate 
Flurwood ,Flurbiprofen 
Froben ,Flurbiprofen 
Flutinate ,Fluticasone Propionate 
Flixonase ,Fluticasone Propionate 
Flixotide ,Fluticasone Propionate 
Focin ,Fosfomycin 
Fosomin ,Fosfomycin 
Floralac ,Lactulose 
Floxer ,Levofloxacin 
Floxolev ,Levofloxacin 
Fuvelox ,Levofloxacin 
Fortius ,Rosuvastatin calcium 
faverin ,Fluvoxamine maleate
Febrol Xtra ,Paracetamol 
Febrol ,Paracetamol 
Fitamol ,Paracetamol 
Fixitil ,Cefixime 
Fixitil DS,Cefixime 
Fixval ,Cefixime 
Flexeril ,Cefixime 
Fitem ,Ceftazidime 
Fortazim ,Ceftazidime 
Fortum ,Ceftazidime 
Fortexone ,Ceftriaxone 
Fusac H Cream ,"Hydrocortisone and Fusidic Acid, topical"
Foracort ,Budesonide 
Ferosoft  tablet,Iron Polymaltose
Fastaid Plus ,Diclofenac potassium 
Fastaid ,Diclofenac Sodium 
Fastaid-R ,Diclofenac Sodium 
Flamex ,Diclofenac Sodium 
Flexin ,Naproxen 
Feldene ,Piroxicam 
Felbex ,Piroxicam-beta-cyclodextrin 
Fusil Cream ,"Fusidic Acid, topical "
Feldene  gel,Piroxicam
Fitzloc ,Levetiracetam
Fitzloc  ,Levetiracetam
Ferinject  injection,Ferric Carboxymaltose Complex
Fefan DS ,Folic Acid
Faverin ,Fluvastatin
Ferfer Orange  sachet,Iron with Multiple Vitamins
Flytro Cream tropical  cream,"Hydroquinone, Tretinoin, and Fluocinolone Acetonid"
Fusil - HC  cream,"Hydrocortisone and Fusidic Acid, topical"
Fusac-H ,Fusidic Acid 
Floaid ,Montelukast 
Febrol fast ,Tramadol 
Flocard ,Nicronadil 
Faast ,Omeprazole 
Fibrocol - Orange  powder,Ispaghula Husk
Fibrocol - Strawberry  powder,Ispaghula Husk
Fortide MDI Hfa Inh   ,Formoterol 
Formiget ,Budesonide 
Foxamine ,Rifaximin 
Ferris ,Iron Sucrose 
Fersip  syrup,Iron Polymaltose
Fersip ,Iron Polymaltose 
Feldene      ,Piroxicam 
Focin Ultra  ,Fosfomycin Trometamol 
Fastum   gel,Ketoprofen
Foster  ,Beclomethasone 
Feveral ,Paracetamol BP/Lidocaine HCI BP 
Favipra ,Favipiravir 
Ferosoft-S   injection,Iron Sucrose
Ferosoft   drops,Iron Polymaltose
Floxin ,"Norfloxacin, Oral "
Folli Care ,L-Methylfolate 
FCM ,Ferric Carboxymaltose 
Fusac Topical  cream,"Fusidic Acid, topical"
Fusicare ,"Fusidic Acid, topical "
Febuxin  ,Febuxostat 
Floxigem  ,Gemifloxacin 
Fusiderm H ,"Fusidic Acid, topical "
Famila-,Levonorgestrel 
Florom-N ,cinnarizine 
FML-NEO ,cinnarizine 
Flumetol ,cinnarizine 
Flurozine ,cinnarizine 
Floral ,cinnarizine 
Florom ,cinnarizine 
Floroptic ,cinnarizine 
FML ,Fluorometholone 
Fortipred ,Prednisolone 
Fansidar ,Sulfadoxine 
Feny ,Flurbiprofen 
Fasfocin ,Fosfomycin 
Fefan ,Folic acid/ Iron salt
Febrol DS ,Paracetamol 
Floramex ,Loperamide 
Fastaid  gel,"Diclofenac Sodium, topical"
Flotizol ,Clotrimazole 
Frisium ,Clobazam 
Fefol  capsule,Ferrous sulphate
Fexet-D  ,Fexofenadine 
Fucidin ,Fusidic Acid
Fusicort  cream,Betamethasone
Fucithalmic Eye Ointment  ointment,Fusidic Acid
Fluarix Inj ,Influenza Vaccine
Fastum  ,Ketoprofen 
Fucicort ,Betamethasone
Fucidin Ointment ,Fusidic Acid
Fusiderm Ointment ,Fusidic Acid 
Froben Gel ,Flurbiprofen
Fucidin ,Fusidic Acid 
Fucidin H Cream  cream,Fusidic Acid
Fasigyn ,Tinidazole 
Femoston Conti ,Estradiol valerate 
Femoston ,Estradiol valerate 
Fynkard ,Metoprolol 
Fantasmic ,Pioglitazone 
Fandia ,Rosiglitazone 
Febricod ,Codeine 
Febricod -C ,Codeine 
Femidol Plus ,Codeine 
Femidol ,Dextropropoxyphene 
Flurane ,Isoflurane 
Forane ,Isoflurane 
Fresofol ,Propofol 
Fygaba ,Gabapentin 
Fentin ,Phenytoin 
Femstat ,Butoconazole 
Fungigray-V ,Clotrimazole 
Finegesic ,Orphenadrine 
Fygesic ,Orphenadrine 
Fexibil ,Baclofen 
Flexagil ,Cyclobenzaprine 
Fortzaar ,Losartan Potassium 
Feboric ,Febuxostat 
Fexostat ,Febuxostat 
Firmofos ,Alendronate 
Fronate ,Alendronate 
Filbone ,Ibandronic Acid 
Freal ,Risedronate Sodium 
Flavoxan ,Flavoxate 
Fri-Cin ,Azithromycin 
Fenicol ,Chloramphenicol 
Fascar ,Clarithromycin 
Fefocin ,Clarithromycin 
Farmorubicin ,Epirubicin 
F-Eso ,Esomeperazole 
Flocot ,Trimethoprim 
Fakzol ,Trimethoprim 
Fakzol Ds ,Trimethoprim 
Fenram ,Chlorpheniramine 
Fanamed ,Fexofenadine 
Fanasel ,Fexofenadine 
Fanoxin ,Fexofenadine 
Feas ,Fexofenadine 
Fekom ,Fexofenadine 
Fenadex Forte ,Fexofenadine 
Fenadex ,Fexofenadine 
Fenadin ,Fexofenadine 
Fenadrin ,Fexofenadine 
Fendin ,Fexofenadine 
Fenofex ,Fexofenadine 
Fenoxy ,Fexofenadine 
Fesjet ,Fexofenadine 
Fexdin ,Fexofenadine 
Fexicame ,Fexofenadine 
Fexigra ,Fexofenadine 
Fexine ,Fexofenadine 
Fexinol ,Fexofenadine 
Fexocare ,Fexofenadine 
Fexoderm ,Fexofenadine 
Fexofax ,Fexofenadine 
Fexofin ,Fexofenadine 
Fexokure ,Fexofenadine 
Fexoprime ,Fexofenadine 
Fexorex ,Fexofenadine 
Fexota ,Fexofenadine 
Fexowan-,Fexofenadine 
Falcitrin ,Artemether 
Finpher ,Artemether 
Fynkomether ,Artemether 
Faroquin ,Chloroquine Phosphate 
Fooquine ,Chloroquine Phosphate 
Falarax ,Sulfadoxine 
Falcipar ,Sulfadoxine 
Favax ,Sulfadoxine 
Fungivin ,Griseofulvin 
Fosfamide ,Ifosfamide 
Ferocare ,Iron Bis-Glycinate 
Fytosid ,Etoposide 
Famclor ,Famciclovir 
Famvir ,Famciclovir 
Filatil ,Filgrastim 
F-Clox ,Flucloxacillin 
Fluclox ,Flucloxacillin 
F-Zole ,Fluconazole 
Favrizol ,Fluconazole 
Fcozole ,Fluconazole 
Floc ,Fluconazole 
Flocosh ,Fluconazole 
Flu-Z ,Fluconazole 
Flucal ,Fluconazole 
Flucanol ,Fluconazole 
Flucogene ,Fluconazole 
Flucose ,Fluconazole 
Flucoz ,Fluconazole 
Flucozole ,Fluconazole 
Fluin ,Fluconazole 
Fluka ,Fluconazole 
Flukazol ,Fluconazole 
Flunaz ,Fluconazole 
Fluzic ,Fluconazole 
Funfil ,Fluconazole 
Funganil ,Fluconazole 
Fungeez ,Fluconazole 
Fungicure ,Fluconazole 
Fungvel ,Fluconazole 
Funzil ,Fluconazole 
Fludara ,Fludarabine Phosphate 
Fluni ,Flunisolide 
F-,Flurbiprofen 
Fb-Said ,Flurbiprofen 
FBI ,Flurbiprofen 
Febagyl ,Flurbiprofen 
Feldax ,Flurbiprofen 
Fen ,Flurbiprofen 
FlamTablet ,Flurbiprofen 
Flefin ,Flurbiprofen 
Flip ,Flurbiprofen 
Flur ,Flurbiprofen 
Flurbac ,Flurbiprofen 
Flurbimak ,Flurbiprofen 
Flurbin ,Flurbiprofen 
Flurbizan ,Flurbiprofen 
Flurfin ,Flurbiprofen 
FluriTablet-,Flurbiprofen 
Flurle ,Flurbiprofen 
Flurmed ,Flurbiprofen 
Flurwin ,Flurbiprofen 
Flusaid ,Flurbiprofen 
Fluwitt ,Flurbiprofen 
Frobafen ,Flurbiprofen 
Froben Sr ,Flurbiprofen 
Frodon ,Flurbiprofen 
Frugesic ,Flurbiprofen 
Fysid ,Flurbiprofen 
Flexosone ,Fluticasone Propionate 
Factum ,Fosfomycin 
Fosfomycin ,Fosfomycin 
Fosfomycin Injection IM ,Fosfomycin 
Fosfomycin Injection IV ,Fosfomycin 
Fsfomycin Susp ,Fosfomycin 
Fosme ,Fosfomycin 
Fosoril ,Fosfomycin 
Fitcid ,Lansoprazole 
Flan ,Lansoprazole 
F-Oxacin ,Levofloxacin 
Feelix ,Levofloxacin 
Finlive ,Levofloxacin 
Fylone ,Levofloxacin 
Floret ,Loratadine 
Fozil ,Loratadine 
Frusemide Injection ,Furosemide 
Frusemide Tab ,Furosemide 
Fusemid ,Furosemide 
Fymide ,Furosemide 
Fymotil ,Diphenoxylate and Atropine 
Furoxone ,"Furazolidone, Oral "
Febrinol Compound ,Aspirin 
Febrin ,Mefenamic Acid 
Febrin DS ,Mefenamic Acid 
Fenamic ,Mefenamic Acid 
Fenamic Forte ,Mefenamic Acid 
Fenstan ,Mefenamic Acid 
Fenstan Forte ,Mefenamic Acid 
Flamar ,Mefenamic Acid 
Fenmol Extra ,Paracetamol 
Febrol SHE ,Paracetamol 
Faramol ,Paracetamol 
Febrinol ,Paracetamol 
Fevamol ,Paracetamol 
Fever Al ,Paracetamol 
Fyclor ,Cefaclor 
Faroxil ,Cefadroxil 
Fedrox ,Cefadroxil 
Fapizen ,Cefepime 
Febzin ,Cefepime 
Feldopim ,Cefepime 
Fedroxim ,Cefixime 
Femcef ,Cefixime 
Finex ,Cefixime 
Fixil ,Cefixime 
Fixim ,Cefixime 
Fiximak ,Cefixime 
Fixime ,Cefixime 
Fixirin ,Cefixime 
Fixomycin ,Cefixime 
Flexeril DS,Cefixime 
Flozid ,Cefixime 
Fobac ,Cefoperazone 
Fobatum ,Cefoperazone 
Fopera ,Cefoperazone 
Faraxime ,Cefotaxime 
Fastimax ,Cefotaxime 
Foldcef ,Cefotaxime 
Forax ,Cefotaxime 
Fotax ,Cefotaxime 
Fotri ,Cefotaxime 
Foxime ,Cefotaxime 
Fun-Xime ,Cefotaxime 
Furitax ,Cefotaxime 
Fustexim ,Cefotaxime 
Futazim ,Cefotaxime 
F-Nov ,Ceftazidime 
Fazim ,Ceftazidime 
Fezadim ,Ceftazidime 
Foram ,Ceftazidime 
Fordeme ,Ceftazidime 
Fortamed ,Ceftazidime 
Fozidim ,Ceftazidime 
Freszid ,Ceftazidime 
Fotamin ,Ceftriaxone 
Fotocef ,Ceftriaxone 
Furospin ,Cefuroxime 
Frelexin ,Cephalexin 
Fazolin ,Cephazolin 
Flosef ,Cephradine 
Fobicef ,Cephradine 
Fostrum ,Cephradine 
Fapa ,Diclofenac potassium 
Fen-K ,Diclofenac potassium 
Fenac ,Diclofenac Sodium 
Fenaclod ,Diclofenac Sodium 
Fenal ,Diclofenac Sodium 
Fenbar ,Diclofenac Sodium 
Fentolit ,Diclofenac Sodium 
Flaren ,Diclofenac Sodium 
Fabofen ,Flurbiprofen 
Flamtab ,Flurbiprofen 
Flubi ,Flurbiprofen 
Flurgem ,Flurbiprofen 
Fluridol ,Flurbiprofen 
Fluritab-,Flurbiprofen 
Flurofen ,Flurbiprofen 
Flurun ,Flurbiprofen 
Flusid ,Flurbiprofen 
Furbin ,Flurbiprofen 
Flexeze ,Glucosamine sulphate 
Fenflex ,Ibuprofen 
Fufen ,Ibuprofen 
Fynkoben ,Ibuprofen 
Flonid ,Leflunomide 
Flunomid ,Leflunomide 
Flexoren ,Naproxen 
Fonza ,Naproxen 
Fedracam ,Piroxicam 
Fycam ,Piroxicam 
Fycam-C ,Piroxicam-beta-cyclodextrin 
Fenkil ,Tenoxicam 
Fluarix ,Influenza Vaccine 
Famotid ,Famotidine 
Faxine ,Venlafaxine 
Febricod-C ,Codeine 
Femidol ,Codeine 
Forgesil ,Tramadol 
Fonstal ,Mefenamic Acid 
Fymef ,Mefenamic Acid 
Fevadol ,Paracetamol 
Fevenor ,Paracetamol 
Furantin ,Nitrofurantoin 
Fosedic ,"Fusidic Acid, topical "
Fosedic B ,"Betamethasone and Fusidic Acid, topical "
Fosedic H  cream,"Hydrocortisone and Fusidic Acid, topical"
Famivid D stat ,Cholecalciferol 
Fastair ,Montelukast 
Faktolin ,Salbutamol 
Fynkoline ,Theophylline Oral 
Freair ,Zafirlukast 
Flupenscot ,Flupenthixol 
Famoscot ,Famotidine 
Femence ,Lactobacillus reuteri Lactobacillus rhamnosus 
Fludarabine AHP ,Fludarabine 
Flagyl Plus  suspension,Diloxanide
Femi-Ject ,Norethisterone Oenanthate 
Fymicron ,Gliclazide 
Fynkomet ,Metformin 
Fungiderm-,Clotrimazole 
Fentyzole V ,Fenticonazole 
Flexar ,Orphenadrine 
Flogesic ,Orphenadrine 
Febulous ,Febuxostat 
Fedralka ,Sodium Acid Citrate 
Furtigent ,Hydrocortisone 
Fymotil ,Diphenoxylate 
Focalin ,Dexamethasone 
Felon N ,cinnarizine 
Flutet ,cinnarizine 
Flagyl Plus ,Diloxanide Furoate 
Flagzol ,Diloxanide Furoate 
Felon ,cinnarizine 
Flucort ,cinnarizine 
Flumetol S ,cinnarizine 
Flurone ,cinnarizine 
Fluorobioptal ,Dexamethasone 
Fenamine ,Chlorpheniramine 
Fabstin ,Ebastine 
Fystine ,Ebastine 
Faxar ,Fexofenadine 
Faxodine ,Fexofenadine 
Fendina ,Fexofenadine 
Fexosure ,Fexofenadine 
Fendlevo ,Levocetirizine 
Fansiqin ,Sulfadoxine 
Fensid ,Sulfadoxine 
Fedoxin ,Sulfadoxine 
Fendic-S Eye ,Diclofenac Sodium 
Fastic ,Cetirizine 
Firax ,Cetirizine 
Forazin ,Cetirizine 
Fozin ,Cetirizine 
Flopan ,Hyoscine 
Flunginal ,Fluconazole 
Flucin ,Fluocinolone 
Fluticort ,Fluticasone Propionate 
Flutivate ,Fluticasone Propionate 
Fismin ,Fosfomycin 
Fosav ,Fosfomycin 
Fosfin ,Fosfomycin 
Fosfosyn ,Fosfomycin 
Fosival ,Fosfomycin 
Farzin ,Loratadine 
Festahist ,Loratadine 
Frend ,Loratadine 
Fruseride ,Furosemide 
Falgan ,Paracetamol 
Fenmol ,Paracetamol 
Fevasaf ,Paracetamol 
Fever-Nil ,Paracetamol 
